zone_id,area_ha,mean_suit,mean_hec,sun_frac,priority,cen_lat,cen_lon,rank,taluk,intervention
87,28.0,0.342,0.0,0.0,0.2388,13.7059,76.0982,262,Kalasa,Bee Fence + Community Watch
444,16.0,0.332,0.0,0.0,0.2387,13.4169,76.1354,263,Kadur,Bee Fence + Community Watch
138,19.0,0.346,0.0113,0.0,0.2387,13.6481,75.9481,264,Koppa,Bee Fence + Community Watch
414,21.0,0.337,0.0001,0.0,0.2386,13.4704,76.1216,265,Kadur,Bee Fence + Community Watch
329,13.0,0.33,0.0,0.0,0.2384,13.5223,76.1644,266,Kadur,Bee Fence + Community Watch
85,19.0,0.335,0.0,0.0,0.2383,13.7072,76.1741,267,Kalasa,Bee Fence + Community Watch
429,22.0,0.338,0.0001,0.0,0.2383,13.444,76.0879,268,Kadur,Bee Fence + Community Watch
426,15.0,0.333,0.0001,0.0,0.238,13.4466,76.0965,269,Kadur,Bee Fence + Community Watch
163,5.0,0.344,0.0187,0.0,0.2377,13.6342,76.0587,270,Koppa,Bee Fence + Community Watch
477,21.0,0.339,0.0,0.0,0.2376,13.363,75.9612,271,Kadur,Bee Fence + Community Watch
406,24.0,0.342,0.0001,0.0,0.2374,13.4773,76.1222,272,Kadur,Bee Fence + Community Watch
104,14.0,0.334,0.0,0.0,0.2373,13.6856,76.1141,273,Kalasa,Bee Fence + Community Watch
253,8.0,0.339,0.0106,0.0,0.2373,13.5733,75.838,274,Koppa,Bee Fence + Community Watch
481,17.0,0.337,0.0,0.0,0.2371,13.3555,75.9745,275,Kadur,Bee Fence + Community Watch
80,18.0,0.338,0.0,0.0,0.237,13.7143,75.9443,276,Kalasa,Bee Fence + Community Watch
64,13.0,0.335,0.0012,0.0,0.237,13.737,75.9147,277,Kalasa,Bee Fence + Community Watch
264,17.0,0.338,0.0,0.0,0.2369,13.5597,76.3314,278,Koppa,Bee Fence + Community Watch
66,18.0,0.338,0.0,0.0,0.2369,13.7291,75.977,279,Kalasa,Bee Fence + Community Watch
15,11.0,0.333,0.0,0.0,0.2368,13.8184,76.0297,280,Kalasa,Bee Fence + Community Watch
248,15.0,0.337,0.0,0.0,0.2367,13.5738,76.327,281,Koppa,Bee Fence + Community Watch
398,20.0,0.341,0.0001,0.0,0.2366,13.4846,76.1264,282,Kadur,Bee Fence + Community Watch
448,18.0,0.34,0.0,0.0,0.2365,13.412,75.981,283,Kadur,Bee Fence + Community Watch
468,15.0,0.337,0.0,0.0,0.2364,13.3719,76.0155,284,Kadur,Bee Fence + Community Watch
14,18.0,0.34,0.0,0.0,0.2364,13.8202,76.0979,285,Kalasa,Bee Fence + Community Watch
126,17.0,0.344,0.0034,0.0,0.2361,13.6615,75.9899,286,Kalasa,Bee Fence + Community Watch
127,7.0,0.343,0.0108,0.0,0.236,13.6616,75.9722,287,Kalasa,Bee Fence + Community Watch
375,14.0,0.338,0.0,0.0,0.236,13.5022,76.221,288,Kadur,Bee Fence + Community Watch
156,16.0,0.34,0.0004,0.0,0.2359,13.6363,76.0806,289,Koppa,Bee Fence + Community Watch
413,15.0,0.339,0.0002,0.0,0.2359,13.473,75.9314,290,Chikkamagaluru,Bee Fence + Community Watch
511,10.0,0.335,0.0,0.0,0.2357,13.3294,75.9971,291,Kadur,Bee Fence + Community Watch
467,11.0,0.336,0.0,0.0,0.2356,13.3853,76.0408,292,Kadur,Bee Fence + Community Watch
512,10.0,0.336,0.0,0.0,0.2355,13.3251,75.9514,293,Kadur,Bee Fence + Community Watch
179,8.0,0.34,0.0051,0.0,0.2351,13.6258,75.9128,294,Koppa,Bee Fence + Community Watch
325,16.0,0.342,0.0,0.0,0.235,13.5237,76.1564,295,Kadur,Bee Fence + Community Watch
105,17.0,0.344,0.0005,0.0,0.2349,13.6854,76.0395,296,Kalasa,Bee Fence + Community Watch
299,9.0,0.336,0.0,0.0,0.2349,13.5407,76.1567,297,Kadur,Bee Fence + Community Watch
